name,url,product_id,price,price_numeric,currency,main_image,image_alt,color_count,color_images,category,scraped_at,source_url,website,color_images_count,morphology,occasion_type
PANTALON,https://www.zen.com.tn/fr/produit/6341-pantalon,6341.0,79.90 TND,79.9,TND,https://images.zen.com.tn/uploads/8_U2_A8913_93207f0f40.jpg,PANTALON,2.0,"https://images.zen.com.tn/uploads/8_U2_A2967a_a1a987df6c.jpg, https://images.zen.com.tn/uploads/8_U2_A3662aa_672cb482cc.jpg",Pants,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,O,Work/Professionnel
PULL OVER,https://www.zen.com.tn/fr/produit/6007-pull-over,6007.0,59.90 TND,59.9,TND,https://images.zen.com.tn/uploads/8_U2_A5693_8b27eea7bc.JPG,PULL OVER,3.0,"https://images.zen.com.tn/uploads/8_U2_A0141aa_8f61f98456.jpg, https://images.zen.com.tn/uploads/8_U2_A0150aa_32f534eeae.jpg, https://images.zen.com.tn/uploads/8_U2_A0141aa_5bd7852656.jpg",Sweater,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,O,Hiver/Froid
CARDIGAN,https://www.zen.com.tn/fr/produit/6295-cardigan,6295.0,79.90 TND,79.9,TND,https://images.zen.com.tn/uploads/8_U2_A3262_dce2dd8fd7.jpg,CARDIGAN,2.0,"https://images.zen.com.tn/uploads/8_U2_A3266aa_fd84626bb7.jpg, https://images.zen.com.tn/uploads/8_U2_A3262aa_38dc7b8228.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,O,Hiver/Froid
CARDIGANS,https://www.zen.com.tn/fr/produit/6293-cardigans,6293.0,69.90 TND,69.9,TND,https://images.zen.com.tn/uploads/8_U2_A9224_808f158cdd.jpg,CARDIGANS,1.0,https://images.zen.com.tn/uploads/8_U2_A3304aa_9ee7e76956.jpg,Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,O,Hiver/Froid
CARDIGAN,https://www.zen.com.tn/fr/produit/6006-cardigan,6006.0,69.90 TND,69.9,TND,https://images.zen.com.tn/uploads/8_U2_A0105_cc9a737ce9.JPG,CARDIGAN,2.0,"https://images.zen.com.tn/uploads/8_U2_A0109aa_10e4d153e6.jpg, https://images.zen.com.tn/uploads/8_U2_A0115aa_23ae9334ec.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,O,Hiver/Froid
ROBE,https://www.zen.com.tn/fr/produit/6292-robe,6292.0,69.90 TND,69.9,TND,https://images.zen.com.tn/uploads/8_U2_A8856_d4a63a7804.jpg,ROBE,2.0,"https://images.zen.com.tn/uploads/8_U2_A3252aa_34f077e89b.jpg, https://images.zen.com.tn/uploads/8_U2_A3256aa_1bb5b8ff46.jpg",Dress,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,A,Soirée/Event
VESTE,https://www.zen.com.tn/fr/produit/6294-veste,6294.0,79.90 TND,79.9,TND,https://images.zen.com.tn/uploads/8_U2_A8747_8d3cc9535a.jpg,VESTE,2.0,"https://images.zen.com.tn/uploads/Capture_d_ecran_2025_11_15_140207_2e8f4a173f.png, https://images.zen.com.tn/uploads/8_U2_A3221aa_c92e3ce41d.jpg",Jacket,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,V,Work/Professionnel
VESTE,https://www.zen.com.tn/fr/produit/6219-veste,6219.0,119.90 TND,119.9,TND,https://images.zen.com.tn/uploads/8_U2_A0202_2_0e123d3621.JPG,VESTE,3.0,"https://images.zen.com.tn/uploads/8_U2_A0202a_723370ab50.jpg, https://images.zen.com.tn/uploads/8_U2_A3085aa_91b1de650d.jpg, https://images.zen.com.tn/uploads/8_U2_A3081aa_be72629e9d.jpg",Jacket,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,V,Work/Professionnel
VESTE,https://www.zen.com.tn/fr/produit/6199-veste,6199.0,119.90 TND,119.9,TND,https://images.zen.com.tn/uploads/8_U2_A9421_dcde1f921f.jpg,VESTE,2.0,"https://images.zen.com.tn/uploads/8_U2_A1623aa_7d73182861.jpg, https://images.zen.com.tn/uploads/8_U2_A3653aa_dde9855279.jpg",Jacket,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,V,Work/Professionnel
SWEAT SHIRT,https://www.zen.com.tn/fr/produit/6297-sweat-shirt,6297.0,69.90 TND,69.9,TND,https://images.zen.com.tn/uploads/8_U2_A9609_f1e1c2a75c.jpg,SWEAT SHIRT,3.0,"https://images.zen.com.tn/uploads/8_U2_A3793aa_9da560227e.jpg, https://images.zen.com.tn/uploads/8_U2_A3236aa_af858a1b8f.jpg, https://images.zen.com.tn/uploads/8_U2_A1830a_cd64117ab3_77cc5293ac.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,H,Casual
MANTEAU,https://www.zen.com.tn/fr/produit/6284-manteau,6284.0,209.90 TND,209.9,TND,https://images.zen.com.tn/uploads/8_U2_A9698_f39ffdbb15.jpg,MANTEAU,2.0,"https://images.zen.com.tn/uploads/8_U2_A3076aa_e3af7f44fc.jpg, https://images.zen.com.tn/uploads/8_U2_A1830a_cd64117ab3_2f46c2c966.jpg",Coat,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,V,Hiver/Froid
LIQUETTE,https://www.zen.com.tn/fr/produit/5935-liquette,5935.0,89.90 TND,89.9,TND,https://images.zen.com.tn/uploads/8_U2_A7846_f3ea8696cb.jpg,LIQUETTE,1.0,https://images.zen.com.tn/uploads/8_U2_A7848aa_170b3f575b.jpg,Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,H,Vacances/Plage
CHEMISE,https://www.zen.com.tn/fr/produit/6327-chemise,6327.0,69.90 TND,69.9,TND,https://images.zen.com.tn/uploads/8_U2_A9553_be11bce130.jpg,CHEMISE,2.0,"https://images.zen.com.tn/uploads/8_U2_A3765aa_9764d858c8.jpg, https://images.zen.com.tn/uploads/8_U2_A3761aa_4fa85b7175.jpg",Shirt,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,H,Work/Professionnel
TUNIQUE,https://www.zen.com.tn/fr/produit/6222-tunique,6222.0,69.90 TND,69.9,TND,https://images.zen.com.tn/uploads/8_U2_A0262_fcd47e81e9.JPG,TUNIQUE,3.0,"https://images.zen.com.tn/uploads/8_U2_A0242a_1d4d529d23.jpg, https://images.zen.com.tn/uploads/8_U2_A0262a_dbdfbcea11.jpg, https://images.zen.com.tn/uploads/8_U2_A0252a_3923f78bc5.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,H,Chic/Élégant
TUNIQUE,https://www.zen.com.tn/fr/produit/6221-tunique,6221.0,69.90 TND,69.9,TND,https://images.zen.com.tn/uploads/8_U2_A0211_62183268b8.JPG,TUNIQUE,3.0,"https://images.zen.com.tn/uploads/8_U2_A0222a_b732d34be7.jpg, https://images.zen.com.tn/uploads/8_U2_A0231a_22a87c29f1.jpg, https://images.zen.com.tn/uploads/8_U2_A0211a_cce829b862.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,3,H,Chic/Élégant
CARDIGAN,https://www.zen.com.tn/fr/produit/6220-cardigan,6220.0,79.90 TND,79.9,TND,https://images.zen.com.tn/uploads/1_3_26feb39f51.JPG,CARDIGAN,2.0,"https://images.zen.com.tn/uploads/8_U2_A0191a_a671dd8cc5.jpg, https://images.zen.com.tn/uploads/8_U2_A0180a_03615c415c.jpg",Other,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,2,O,Hiver/Froid
PULL-OVER,https://www.zen.com.tn/fr/produit/6257-pull-over,6257.0,69.90 TND,69.9,TND,https://images.zen.com.tn/uploads/8_U2_A8914_c63c167010.jpg,PULL-OVER,1.0,https://images.zen.com.tn/uploads/8_U2_A2201aa_6329853671.jpg,Sweater,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,O,Hiver/Froid
ROBE DE CHAMBRE,https://www.zen.com.tn/fr/produit/4152-robe-de-chambre,4152.0,55.93 TND,55.93,TND,https://images.zen.com.tn/uploads/8_U2_A7528_112844ffff.jpg,ROBE DE CHAMBRE,1.0,https://images.zen.com.tn/uploads/8_U2_A0154aa_f4831e866b.jpg,Dress,2025-12-01 16:13:04,https://www.zen.com.tn/fr/tn/4-vetements-femme,Zen.com.tn,1,A,Soirée/Event
